585:        57 steps          31962 total steps
586:        119 steps          32081 total steps
587:        119 steps          32200 total steps
588:        119 steps          32319 total steps
589:        119 steps          32438 total steps
590:        57 steps          32495 total steps
591:        57 steps          32552 total steps
592:        26 steps          32578 total steps
593:        75 steps          32653 total steps
594:        75 steps          32728 total steps
595:        75 steps          32803 total steps
596:        26 steps          32829 total steps
597:        26 steps          32855 total steps
598:        119 steps          32974 total steps
599:        119 steps          33093 total steps
600:        18 steps          33111 total steps
601:        57 steps          33168 total steps
602:        18 steps          33186 total steps
603:        70 steps          33256 total steps
604:        18 steps          33274 total steps
605:        18 steps          33292 total steps
606:        44 steps          33336 total steps
607:        44 steps          33380 total steps
608:        26 steps          33406 total steps
609:        132 steps          33538 total steps
610:        39 steps          33577 total steps
611:        39 steps          33616 total steps
612:        39 steps          33655 total steps
613:        39 steps          33694 total steps
614:        39 steps          33733 total steps
615:        70 steps          33803 total steps
616:        26 steps          33829 total steps
617:        132 steps          33961 total steps
618:        26 steps          33987 total steps
619:        132 steps          34119 total steps
620:        88 steps          34207 total steps
621:        88 steps          34295 total steps
622:        88 steps          34383 total steps
623:        132 steps          34515 total steps
624:        39 steps          34554 total steps
625:        26 steps          34580 total steps
626:        132 steps          34712 total steps
627:        132 steps          34844 total steps
628:        39 steps          34883 total steps
629:        39 steps          34922 total steps
630:        39 steps          34961 total steps
631:        39 steps          35000 total steps
632:        39 steps          35039 total steps
633:        31 steps          35070 total steps
634:        39 steps          35109 total steps
635:        31 steps          35140 total steps
636:        57 steps          35197 total steps
637:        57 steps          35254 total steps
638:        57 steps          35311 total steps
639:        132 steps          35443 total steps
640:        13 steps          35456 total steps
641:        52 steps          35508 total steps
642:        26 steps          35534 total steps
643:        26 steps          35560 total steps
644:        101 steps          35661 total steps
645:        101 steps          35762 total steps
646:        101 steps          35863 total steps
647:        39 steps          35902 total steps
648:        26 steps          35928 total steps
649:        145 steps          36073 total steps
650:        26 steps          36099 total steps
651:        101 steps          36200 total steps
652:        26 steps          36226 total steps
653:        26 steps          36252 total steps
654:        145 steps          36397 total steps
655:        145 steps          36542 total steps
656:        114 steps          36656 total steps
657:        52 steps          36708 total steps
658:        52 steps          36760 total steps
659:        52 steps          36812 total steps
660:        114 steps          36926 total steps
661:        114 steps          37040 total steps
662:        26 steps          37066 total steps
663:        26 steps          37092 total steps
664:        114 steps          37206 total steps
665:        52 steps          37258 total steps
666:        114 steps          37372 total steps
667:        145 steps          37517 total steps
668:        70 steps          37587 total steps
669:        70 steps          37657 total steps
670:        70 steps          37727 total steps
671:        96 steps          37823 total steps
672:        13 steps          37836 total steps
673:        65 steps          37901 total steps
674:        114 steps          38015 total steps
675:        114 steps          38129 total steps
676:        52 steps          38181 total steps
677:        52 steps          38233 total steps
678:        52 steps          38285 total steps
679:        65 steps          38350 total steps
680:        13 steps          38363 total steps
681:        65 steps          38428 total steps
682:        13 steps          38441 total steps
683:        39 steps          38480 total steps
684:        127 steps          38607 total steps
685:        127 steps          38734 total steps
686:        127 steps          38861 total steps
687:        39 steps          38900 total steps
688:        34 steps          38934 total steps
689:        127 steps          39061 total steps
690:        127 steps          39188 total steps
691:        127 steps          39315 total steps
692:        34 steps          39349 total steps
693:        34 steps          39383 total steps
694:        127 steps          39510 total steps
695:        127 steps          39637 total steps
696:        34 steps          39671 total steps
697:        127 steps          39798 total steps
698:        34 steps          39832 total steps
699:        65 steps          39897 total steps
700:        83 steps          39980 total steps
701:        83 steps          40063 total steps
702:        83 steps          40146 total steps
703:        171 steps          40317 total steps
704:        21 steps          40338 total steps
705:        34 steps          40372 total steps
706:        127 steps          40499 total steps
707:        127 steps          40626 total steps
708:        34 steps          40660 total steps
709:        34 steps          40694 total steps
710:        34 steps          40728 total steps
711:        65 steps          40793 total steps
712:        34 steps          40827 total steps
713:        26 steps          40853 total steps
714:        34 steps          40887 total steps
715:        26 steps          40913 total steps
716:        34 steps          40947 total steps
717:        34 steps          40981 total steps
718:        52 steps          41033 total steps
719:        52 steps          41085 total steps
720:        21 steps          41106 total steps
721:        47 steps          41153 total steps
722:        47 steps          41200 total steps
723:        47 steps          41247 total steps
724:        21 steps          41268 total steps
725:        21 steps          41289 total steps
726:        47 steps          41336 total steps
727:        47 steps          41383 total steps
728:        96 steps          41479 total steps
729:        34 steps          41513 total steps
730:        96 steps          41609 total steps
731:        140 steps          41749 total steps
732:        96 steps          41845 total steps
733:        96 steps          41941 total steps
734:        47 steps          41988 total steps
735:        47 steps          42035 total steps
736:        21 steps          42056 total steps
737:        140 steps          42196 total steps
738:        21 steps          42217 total steps
739:        21 steps          42238 total steps
740:        47 steps          42285 total steps
741:        47 steps          42332 total steps
742:        47 steps          42379 total steps
743:        96 steps          42475 total steps
744:        21 steps          42496 total steps
745:        91 steps          42587 total steps
746:        21 steps          42608 total steps
747:        47 steps          42655 total steps
748:        47 steps          42702 total steps
749:        47 steps          42749 total steps
750:        47 steps          42796 total steps
751:        140 steps          42936 total steps
752:        109 steps          43045 total steps
753:        21 steps          43066 total steps
754:        65 steps          43131 total steps
755:        65 steps          43196 total steps
756:        109 steps          43305 total steps
757:        109 steps          43414 total steps
758:        60 steps          43474 total steps
759:        60 steps          43534 total steps
760:        109 steps          43643 total steps
761:        34 steps          43677 total steps
762:        109 steps          43786 total steps
763:        153 steps          43939 total steps
764:        47 steps          43986 total steps
765:        47 steps          44033 total steps
766:        47 steps          44080 total steps
767:        60 steps          44140 total steps
768:        16 steps          44156 total steps
769:        34 steps          44190 total steps
770:        34 steps          44224 total steps
771:        34 steps          44258 total steps
772:        122 steps          44380 total steps
773:        122 steps          44502 total steps
774:        122 steps          44624 total steps
775:        153 steps          44777 total steps
776:        122 steps          44899 total steps
777:        34 steps          44933 total steps
778:        122 steps          45055 total steps
779:        60 steps          45115 total steps
780:        122 steps          45237 total steps
781:        122 steps          45359 total steps
782:        122 steps          45481 total steps
783:        122 steps          45603 total steps
784:        29 steps          45632 total steps
785:        122 steps          45754 total steps
786:        60 steps          45814 total steps
787:        60 steps          45874 total steps
788:        29 steps          45903 total steps
789:        29 steps          45932 total steps
790:        78 steps          46010 total steps
791:        78 steps          46088 total steps
792:        29 steps          46117 total steps
793:        78 steps          46195 total steps
794:        29 steps          46224 total steps
795:        104 steps          46328 total steps
796:        122 steps          46450 total steps
797:        122 steps          46572 total steps
798:        122 steps          46694 total steps
799:        73 steps          46767 total steps
800:        29 steps          46796 total steps
801:        60 steps          46856 total steps
802:        21 steps          46877 total steps
803:        21 steps          46898 total steps
804:        21 steps          46919 total steps
805:        21 steps          46940 total steps
806:        21 steps          46961 total steps
807:        73 steps          47034 total steps
808:        29 steps          47063 total steps
809:        47 steps          47110 total steps
810:        29 steps          47139 total steps
811:        135 steps          47274 total steps
812:        42 steps          47316 total steps
813:        42 steps          47358 total steps
814:        42 steps          47400 total steps
815:        135 steps          47535 total steps
816:        29 steps          47564 total steps
817:        42 steps          47606 total steps
818:        42 steps          47648 total steps
819:        42 steps          47690 total steps
820:        29 steps          47719 total steps
821:        29 steps          47748 total steps
822:        135 steps          47883 total steps
823:        135 steps          48018 total steps
824:        91 steps          48109 total steps
825:        135 steps          48244 total steps
826:        91 steps          48335 total steps
827:        42 steps          48377 total steps
828:        91 steps          48468 total steps
829:        91 steps          48559 total steps
830:        135 steps          48694 total steps
831:        135 steps          48829 total steps
832:        16 steps          48845 total steps
833:        29 steps          48874 total steps
834:        135 steps          49009 total steps
835:        135 steps          49144 total steps
836:        42 steps          49186 total steps
837:        42 steps          49228 total steps
838:        42 steps          49270 total steps
839:        86 steps          49356 total steps
840:        42 steps          49398 total steps
841:        42 steps          49440 total steps
842:        42 steps          49482 total steps
843:        42 steps          49524 total steps
844:        42 steps          49566 total steps
845:        42 steps          49608 total steps
846:        34 steps          49642 total steps
847:        34 steps          49676 total steps
848:        16 steps          49692 total steps
849:        60 steps          49752 total steps
850:        60 steps          49812 total steps
851:        60 steps          49872 total steps
852:        16 steps          49888 total steps
853:        16 steps          49904 total steps
854:        55 steps          49959 total steps
855:        55 steps          50014 total steps
856:        104 steps          50118 total steps
857:        29 steps          50147 total steps
858:        104 steps          50251 total steps
859:        148 steps          50399 total steps
860:        104 steps          50503 total steps
861:        104 steps          50607 total steps
862:        42 steps          50649 total steps
863:        42 steps          50691 total steps
864:        117 steps          50808 total steps
865:        148 steps          50956 total steps
866:        29 steps          50985 total steps
867:        29 steps          51014 total steps
868:        29 steps          51043 total steps
869:        29 steps          51072 total steps
870:        29 steps          51101 total steps
871:        179 steps          51280 total steps
872:        117 steps          51397 total steps
873:        148 steps          51545 total steps
874:        117 steps          51662 total steps
875:        29 steps          51691 total steps
876:        55 steps          51746 total steps
877:        55 steps          51801 total steps
878:        55 steps          51856 total steps
879:        148 steps          52004 total steps
880:        117 steps          52121 total steps
881:        117 steps          52238 total steps
882:        29 steps          52267 total steps
883:        29 steps          52296 total steps
884:        117 steps          52413 total steps
885:        117 steps          52530 total steps
886:        55 steps          52585 total steps
887:        55 steps          52640 total steps
888:        73 steps          52713 total steps
889:        148 steps          52861 total steps
890:        73 steps          52934 total steps
891:        47 steps          52981 total steps
892:        73 steps          53054 total steps
893:        73 steps          53127 total steps
894:        99 steps          53226 total steps
895:        99 steps          53325 total steps
896:        24 steps          53349 total steps
897:        68 steps          53417 total steps
898:        117 steps          53534 total steps
899:        117 steps          53651 total steps
900:        55 steps          53706 total steps
